lad17cd,destitution_all,destitution_migrant,desitution_complex,destitution_uk_other
E06000001,9,6,10,10
E06000002,10,9,10,10
E06000003,6,2,7,6
E06000004,8,7,9,7
E06000010,10,8,10,10
E06000011,1,2,2,2
E06000032,9,9,8,9
E06000005,8,4,10,8
E06000006,7,1,8,9
E06000016,10,10,10,8
E06000007,5,4,7,5
E06000008,9,7,10,10
E06000009,10,3,10,10
E06000012,9,3,10,8
E06000014,5,7,8,3
E06000013,6,6,7,8
E06000015,9,8,10,6
E06000017,2,4,5,1
E06000018,10,10,10,9
E06000019,4,6,6,2
E06000020,6,4,7,7
E06000021,9,8,10,8
E06000022,4,7,6,3
E06000033,6,5,8,5
E06000023,9,8,10,7
E06000027,7,2,9,7
E06000024,3,3,5,4
E06000028,8,7,9,5
E06000025,1,5,1,2
E06000039,8,9,8,8
E06000026,8,6,10,7
E06000029,3,3,4,4
E06000030,6,7,6,5
E06000031,9,9,10,7
E06000034,6,6,6,7
E06000035,6,5,6,7
E06000036,3,6,2,3
E06000040,2,7,2,1
E06000037,2,5,2,2
E06000038,8,9,9,6
E06000041,1,6,1,1
E06000042,6,7,4,6
E06000043,7,8,9,5
E06000044,8,8,8,7
E06000045,9,9,10,7
E06000046,5,2,7,4
E06000047,5,2,6,6
E06000049,4,3,6,3
E06000050,6,3,8,4
E06000051,4,4,3,5
E06000052,4,2,6,4
E06000053,1,2,1,1
E06000054,2,3,3,2
E08000023,9,4,10,9
E06000055,8,7,10,6
E07000005,1,4,1,1
E09000005,9,10,6,8
E06000056,2,5,3,2
E06000057,4,3,5,4
E07000004,2,6,1,2
E07000006,1,6,1,1
E07000007,3,6,3,2
E07000008,8,10,9,4
E07000009,3,6,4,1
E07000048,1,1,2,2
E07000010,5,7,7,4
E07000033,3,3,4,4
E07000011,3,5,4,2
E07000061,6,5,8,6
E07000012,1,5,2,1
E07000026,5,1,7,5
E07000027,7,1,9,9
E07000028,6,2,9,5
E07000029,5,1,7,5
E07000034,5,1,7,4
E07000035,1,1,1,1
E07000030,3,2,5,2
E07000031,3,4,6,1
E07000032,2,1,3,3
E07000036,3,1,4,4
E07000037,2,1,3,2
E07000041,7,7,9,5
E07000042,2,3,3,2
E07000043,4,2,7,3
E07000044,1,2,3,1
E07000038,1,1,2,1
E07000062,9,6,10,9
E07000039,1,1,2,2
E09000028,10,10,9,8
E07000040,1,2,3,1
E07000045,3,2,5,3
E07000046,2,1,4,3
E07000047,2,2,5,1
E07000049,1,1,1,1
E07000066,5,4,6,6
E07000050,1,3,4,1
E07000051,1,3,2,1
E07000052,1,1,4,1
E07000053,6,1,8,5
E07000063,3,3,4,3
E08000026,10,10,10,8
E07000064,2,2,4,2
E07000065,1,3,2,1
E09000029,3,6,2,3
E07000067,3,2,3,3
E09000030,10,10,9,10
E07000068,2,5,2,2
E07000069,2,1,2,4
E07000087,1,2,1,2
E07000070,3,4,4,3
E07000088,4,1,5,4
E09000031,9,10,7,9
E07000071,6,7,6,4
E07000072,3,4,3,3
E07000073,6,6,7,7
E07000074,1,1,2,2
E09000006,4,5,4,3
E07000075,1,1,1,1
E07000076,5,1,5,7
E07000077,1,3,1,1
E07000078,5,6,7,4
E07000079,2,4,2,2
E07000080,2,1,3,3
E07000081,7,7,8,7
E07000082,2,1,4,2
E09000007,10,10,10,6
E07000083,2,3,3,2
E09000032,7,9,5,5
E07000084,3,5,4,3
E07000089,1,5,1,1
E07000085,1,4,1,1
E07000086,1,3,2,1
E07000090,3,1,6,3
E07000091,1,3,1,1
E07000092,4,6,6,3
E07000103,5,7,7,3
E07000093,1,4,2,1
E07000117,9,3,10,10
E07000094,2,5,3,1
E07000095,4,5,4,5
E09000033,10,10,9,6
E07000096,3,4,3,3
E07000098,4,7,4,3
E07000120,7,3,8,9
E07000121,7,7,8,5
E07000099,2,3,3,2
E07000102,2,5,1,2
E07000105,4,5,4,4
E07000122,7,6,8,8
E07000106,5,7,6,4
E07000107,5,6,4,5
E07000108,4,3,4,5
E07000109,5,6,4,7
E07000110,4,6,5,3
E07000123,8,7,9,8
E07000111,1,4,1,1
E07000241,3,NA,NA,NA
E07000112,6,4,5,8
E07000113,5,4,6,5
E07000114,7,5,7,9
E07000115,1,3,1,1
E09000008,7,8,7,7
E07000116,2,5,2,2
E07000118,4,1,6,4
E07000119,3,2,4,3
E07000124,3,2,4,4
E07000125,5,2,7,5
E07000126,3,1,5,3
E07000129,2,2,3,2
E07000127,5,5,5,5
E09000009,10,10,8,8
E07000128,4,2,5,4
E07000130,4,7,5,2
E07000132,2,2,5,2
E07000131,1,2,2,1
E07000133,2,2,4,1
E07000150,7,7,7,7
E07000134,2,2,4,3
E07000135,3,7,4,2
E09000010,8,9,4,9
E07000136,7,9,7,4
E07000137,4,2,6,4
E07000138,9,7,10,7
E07000156,6,7,5,6
E07000139,2,2,4,1
E07000170,5,1,8,4
E07000140,4,7,5,2
E07000173,3,1,5,3
E07000141,4,4,5,3
E07000174,7,5,9,7
E07000142,3,1,5,3
E07000178,10,10,9,8
E07000143,4,6,6,3
E07000208,2,6,1,1
E07000144,2,1,5,2
E07000145,6,5,8,7
E07000146,5,5,7,4
E07000147,3,3,5,2
E07000148,10,8,10,8
E07000149,2,3,5,1
E07000151,2,5,2,2
E07000152,2,4,3,2
E07000212,3,7,4,1
E07000153,5,5,5,5
E07000154,7,8,7,5
E07000155,1,4,1,1
E07000213,3,6,2,3
E07000163,1,3,2,2
E07000164,1,3,2,2
E07000214,1,5,1,1
E07000165,2,5,3,1
E07000166,3,5,4,2
E09000011,7,9,3,8
E07000167,2,3,2,3
E09000012,9,9,9,9
E07000168,6,4,7,6
E07000169,2,3,2,2
E07000171,5,3,7,3
E07000172,4,6,5,3
E07000175,4,3,6,3
E09000013,9,10,8,8
E09000014,10,10,9,8
E07000176,1,3,2,1
E07000215,1,4,1,1
E09000015,7,9,4,5
E07000177,3,6,4,3
E07000179,1,5,1,1
E07000180,1,5,2,1
E07000181,1,5,1,1
E09000016,4,6,3,4
E07000187,4,4,7,2
E07000188,5,4,7,3
E07000189,4,4,6,3
E07000190,5,4,7,3
E09000017,9,9,6,9
E07000191,5,3,9,2
E07000192,5,1,6,5
E07000193,5,6,6,5
E07000194,1,1,2,2
E08000003,10,10,10,10
E07000195,3,4,6,2
E08000004,9,7,8,9
E07000196,1,1,1,1
E07000197,3,4,5,2
E07000198,1,1,3,1
E07000199,5,1,6,5
E07000200,1,2,2,2
E07000201,4,7,5,3
E07000202,9,8,8,9
E09000018,8,10,6,6
E07000203,1,1,1,1
E09000019,10,10,10,8
E07000204,2,4,4,2
E07000205,1,3,2,1
E07000206,4,1,5,4
E07000207,1,7,1,1
E07000209,4,8,5,1
E08000005,10,8,10,10
E07000210,1,4,1,1
E07000211,2,5,2,2
E09000020,8,10,6,5
E07000216,1,5,1,1
E07000217,3,7,3,2
E07000218,2,1,2,4
E07000219,5,2,6,6
E08000006,10,9,9,10
E07000220,4,6,4,3
E07000221,1,4,2,1
E07000239,4,1,7,4
E07000222,4,6,6,2
E07000223,3,2,4,3
E09000021,6,9,6,3
E07000224,4,5,5,3
E07000225,3,5,4,2
E07000226,6,8,7,5
E09000022,9,9,10,8
E07000227,1,4,2,1
E07000228,1,4,2,1
E07000229,4,4,6,4
E07000240,2,NA,NA,NA
E07000234,2,1,4,1
E07000235,2,4,5,1
E07000236,5,5,7,5
E07000237,7,5,9,5
E07000238,2,4,4,1
E07000242,2,3,3,2
E07000243,4,6,4,3
E08000013,8,2,10,9
E08000001,9,8,9,9
E08000002,8,7,9,8
E09000023,9,9,8,9
E08000007,5,4,6,4
E08000008,8,6,8,9
E08000009,4,5,4,4
E08000010,7,7,8,7
E08000011,9,1,9,10
E08000012,10,9,10,10
E08000014,6,2,6,8
E08000015,6,1,7,8
E09000024,7,9,5,4
E08000016,6,6,6,5
E08000022,6,4,7,6
E09000025,10,10,8,9
E08000017,7,6,9,7
E08000018,6,6,7,5
E08000019,7,8,8,6
E08000021,10,9,10,8
E09000026,8,9,6,7
E08000024,8,6,9,8
E08000025,10,8,10,10
E08000027,6,4,8,5
E08000028,8,8,6,9
E09000027,3,7,1,3
E08000029,3,2,4,4
E08000030,8,6,8,9
E08000031,9,9,9,9
E08000032,9,7,9,9
E08000033,6,6,7,7
E08000034,6,7,7,6
E08000036,6,5,8,5
E08000035,8,7,9,6
E09000004,5,7,2,6
E08000037,8,8,9,7
E09000001,8,9,10,2
E09000002,10,10,9,10
E09000003,7,9,3,6
S12000005,8,3,7,10
S12000006,5,2,6,5
S12000008,5,1,5,8
S12000010,3,4,1,5
S12000011,2,2,3,3
S12000013,1,1,1,2
S12000014,5,2,2,9
S12000015,6,5,5,9
S12000017,4,4,2,6
S12000018,7,1,6,10
S12000019,4,2,1,8
S12000020,3,3,2,4
S12000021,9,1,7,10
S12000023,1,2,1,1
S12000024,4,6,3,4
S12000026,4,4,3,5
S12000027,1,3,1,2
S12000028,6,2,4,10
S12000029,5,2,4,8
S12000030,4,6,2,6
S12000033,6,9,4,6
S12000034,2,4,4,1
S12000035,3,3,3,4
S12000036,7,9,4,7
S12000039,8,2,9,9
S12000038,7,4,5,10
S12000045,1,1,1,2
S12000040,6,5,4,9
S12000041,5,3,6,4
S12000042,8,7,6,10
S12000044,7,2,4,10
S12000046,10,10,9,10
W06000001,3,1,1,6
W06000002,3,5,1,4
W06000003,4,1,4,5
W06000013,5,1,5,7
W06000004,4,1,2,7
W06000005,3,2,1,5
W06000006,4,6,2,5
W06000008,2,6,1,4
W06000009,3,1,2,4
W06000010,3,2,1,5
W06000011,7,8,7,6
W06000012,4,1,2,7
W06000014,3,1,4,4
W06000015,8,9,7,7
W06000016,4,3,2,7
W06000020,4,1,2,7
W06000018,5,1,2,8
W06000019,6,1,5,9
W06000024,6,3,6,8
W06000021,1,1,1,3
W06000022,8,8,7,9
W06000023,2,2,1,3
